sl_no,item,quantity_per_shelter,utility,source_page
1,5 KVA Diesel Generator Sets,1No,Backup Power supply at the time of power failure,110
2,Light,25Nos,. Fitted in the Shelters for lighting purposes,110
3,Fan,15 Nos,Fitted to Shelters,110
4,Pulley Block,3Nos,Handling the materials,110
5,Lifebuoy MMD/SOLAS Approved,5Nos,Water Rescue during Flood,110
6,Life Jacket MMD/SOLAS Approved,5Nos,Water Rescue during Flood,110
7,Nylon Rope 12 mm dia-,50 mtr,25 Kg Material handling & water rescue,110
8,Stretcher,2Nos,Carry patient/ injured persons at the time of disaster,110
9,Manila rope 200 ft.6mm dia,25Kg,Material handling & water rescue,110
10,Manila rope 60 ft.12mm dia,25Kg,Material handling & water rescue,110
11,Sisal chord 60mm dia 20 ft,25Kg,Material handling & water rescue,110
12,"G.I,Trunk 6ft x 3ft x 2.5 ft",2Nos,Preservation of Search & Rescue items,110
13,Telescopic Aluminium Ladder(30ft),1No,Building Rescue,110
14,First Aid Box with two manuals,1 Box,Treatment of patient/ injured persons at the time of disaster,110
15,Florescent jackets,50 Nos,For identity of task force during Search & Rescue operation,110
16,Free Kitchen Utensils : Flat Handa,1 Set,"(List For cooking at Shelter during Kadai, Dekchi,Daba,Khanta, enclose-22 disaster to give free fooding to the paniki,Hemadasta,Korana, Bucket and items) affected persons other items",110
17,Notice Board with chicken net,1 No,Display of events & activities of covering and locking Shelter,110
18,Dari,1 No,Utilized during meeting of the Community,110
19,Black Board,1 No,Utilized during meeting of the Community,110
20,Plastic Chair(,5 Nos.,Nil Kamal) 1 No Utilized during meeting of the Community,110
21,Solar Lantern (TATA BP),1 No,Utilized at the time of Power Failure,110
22,Inflatable Tower Light with,2 Nos,"It is the unique - having luminous accessories Intensity of 40,000 Lumen, can impart visible illumination of 100 sq.mtr radius, very essential for District Disaster Management Plan, Puri, 2017-18 110 | Pag e",110
23,Petrol driven Portable Power Saws of,2 Nos,"It is very essential of cutting the STIHL Germany Make 500 cm Bar fallen trees during disaster, length with Personnel Protective capable cutting all types of tree Equipments girth of 2 mtr.",111
24,"JAYKAY make, Single Phase double",1 No,Disaster warning up to 1.5 Km. mounting Electrical Siren,111
25,Ahuja Make Hand Held Mega Phone,1 No,Public Address during Search & Batter operated Rescue activities,111
26,Flexi-water tank-,200 lit,. Capacity 2 Nos To preserve drinking water during Search & Rescue activities,111
27,Safety shoes (Gum Boot),2 pairs,For use by task force during Search & Rescue activities,111
28,Gloves,2 Pairs,For use by task force during Search & Rescue activities,111
29,Hand Held Search Light (Hi-Beam,1 No,"Night time Search & Rescue Rechargeable ) range of 1000mtr. activities, clear vision for search of victim up to the 1Km.",111
30,Foldable stretcher,2 Nos,Carry patient/ injured persons at the time of disaster,111
31,Free Power Radio (Philips),1 No,For knowledge radio Broad cast to the affected persons.,111
32,Water filter,26lit,.(Bajaj) 1 No Supply of Safe water during disaster,111
33,High-end desktop Computer,1 No,For sustainability of the with 3KVA online UPS communication hub.,111
34,Multifunctional Printer with Fax,1 No,For online bill,111
35,Computer Chair payments/photocopy of,,,111
36,Furniture & fixture for IT-- item set important documents/railway ticket/online academic results/,,,111
37,LCD Panel weather report/ scanning of documents/video conferencing,,,111
38,1.5KVA Digital Inverter,1 No,Backup power supply to the IT items,111
39,1.5 ton AC with Stabilizer,1 No,For regulating the constant room temperature for longevity of the IT equipment,111
40,10KVA Constant Voltage Stabilizer,1No,"For constant voltage of power supply to the IT items Table__: Details of equipments provided to MCS Sl Name Location Equipments Status Remarks No. of the Provided Operational Non MCS District Disaster Management Plan, Puri, 2017-18 111 | Pag e",111
