sl_no,block,village_panchayat,shelter_name,plinth_area_sqft,funding_agency,source_page
1,Astaranga,Astaranga,Astaranga H.S.,2000,PMNRF,102
2,Astaranga,Naiguan,B.D. High School,2000,PMNRF,102
3,Astaranga,"Bantilo, Korana",Bantilo HS,2000,PMNRF,102
4,Astaranga,Patalada,Patalada HS,2000,PMNRF,102
5,Astaranga,"Edabansa,Talada",Padhihari Bidyapitha,2000,PMNRF,103
6,Astaranga,"Jhadaling,Nuagar h",Jhadalinga HS,2000,PMNRF,103
7,Astaranga,"Sundar , Chhuriana",Sundar HS,2000,PMNRF,103
8,Brahmagiri,"Mudirath, Badabenakudi",Govt. HS,2000,PMNRF,103
9,Brahmagiri,Bentapur,B.K.Girls’ HS,2000,PMNRF,103
10,Brahmagiri,"Sunamuhin,Gadar otanga",Krushak Bidyapitha,2000,PMNRF,103
11,Brahmagiri,Gorual,Palakeswari HS,2000,PMNRF,103
12,Brahmagiri,Kapileswarpur,A J Das Bidyapitha,2000,PMNRF,103
13,Brahmagiri,Rahadmalla,Brundaban HS,2000,PMNRF,103
14,Brahmagiri,"Gadakokala, Raibidhar",Gadakokala HS,2000,PMNRF,103
15,Gop,"Gadajhinkiria, Achutpur",Kochileswar HS,2000,PMNRF,103
16,Gop,Dihuda,Nilakantheswar HS,2000,PMNRF,103
17,Gop,"Dasbatia, Banakhandi",Dasbatia HS,2000,PMNRF,103
18,Gop,"Jaunlipokhari, Baniasahi",Rusipada HS,2000,PMNRF,103
19,Gop,Chadheigaon,Sri J N HS,2000,PMNRF,103
20,Gop,Balia,S N Bidyapitha,2000,PMNRF,103
21,Gop,Dalanai. BAntaligram,Bantaligram Panchayat HS,2000,PMNRF,103
22,Gop,Kursipanchan,Dasabandhu HS,2000,PMNRF,103
23,Gop,Birtunga,Saraswati Bidyapitha,2000,PMNRF,103
24,Gop,Chhaitana,HCM HS,2000,PMNRF,103
25,Gop,"Nayahat, Dhumalo",Nayahat HS,2000,PMNRF,103
26,Gop,Erabanga,Erabanga HS,2000,PMNRF,103
27,Gop,Ganeswarpur,Ganeswarpur HS,2000,PMNRF,103
28,Gop,Gop,Girls’ HS,2000,PMNRF,103
29,Gop,Gop,NN HS,2000,PMNRF,103
30,Gop,Konark NAC,Konark HS,2000,PMNRF,103
31,Gop,"Orei, Mahakalapada",Jogeswari Bidyapitha,2000,PMNRF,103
32,Gop,"Olandi,Rahanagor ada",UG HS,2000,PMNRF,103
33,Gop,"Anasara, Simili",Rudrani HS,2000,PMNRF,103
34,Gop,Sutan,Balikapileswar HS,2000,PMNRF,103
35,Gop,Sutan,Sutan HS,2000,PMNRF,103
36,Kakatpur,"Balidokan,Kuraju nga",Bateswar HS,2000,PMNRF,104
37,Kakatpur,"Chitreswari, Abadan",Chitreswari HS,2000,PMNRF,104
38,Kakatpur,"Patapur, Kundhei",Barunei HS,2000,PMNRF,104
39,Kakatpur,"Bijapur, kundhei",Bajapur HS,2000,PMNRF,104
40,Kakatpur,Lataharana,Lataharan HS,2000,PMNRF,104
41,Kakatpur,Kakatpur,Kakatpur Girls’ HS,2000,PMNRF,104
42,Kakatpur,Mahadevbasta,Trilochanpur HS,2000,PMNRF,104
43,Kakatpur,Bhandisahi,UGMS Bidyapitha,2000,PMNRF,104
44,Kakatpur,Bangurikan,Bangurigan Girls’ HS,2000,PMNRF,104
45,Kakatpur,Bangurigan,Birabhadra Bidyapitha,2000,PMNRF,104
46,Kanas,Adalbadal,Kulamani Bidyapitha,2000,PMNRF,104
47,Kanas,K.Khani,Kaduaghat Academy,2000,PMNRF,104
48,Kanas,Khandahota,AGC Bidyapitha,2000,PMNRF,104
49,Kanas,Gadisagoda,Gopinath HS,2000,PMNRF,104
50,Kanas,Karamala,SA Bidyapitha,2000,PMNRF,104
51,Kanas,Gadakharada,Sri Chandaneswar HS,2000,PMNRF,104
52,Krushnaprasad,Badajhad,Kamaleswar Bidyapitha,2000,PMNRF,104
53,Krushnaprasad,Parikud,PLC Bidyapitha,2000,PMNRF,104
54,Krushnaprasad,C.Nuapada,Narayani Bidyapitha,2000,PMNRF,104
55,Krushnaprasad,Panaspada,Harihar Bidyapitha,2000,PMNRF,104
56,Krushnaprasad,Gambhari,Dwarsuni Bidyapitha,2000,PMNRF,104
57,Krushnaprasad,Nandala,Dr. MM HS,2000,PMNRF,104
58,Krushnaprasad,B.Nuagaon,Basudev HS,2000,PMNRF,104
59,Krushnaprasad,"Ora, Siandi",Sansima HS,2000,PMNRF,104
60,Puri Sadar,Biraharekrushnap ur,Biraharekrishnapur HS,2000,PMNRF,104
61,Puri Sadar,B.N. Pur,Bhargavi HS,2000,PMNRF,104
62,Puri Sadar,Baliguali,S.B. HS,2000,PMNRF,104
63,Puri Sadar,Baliput,Panchayat HS,2000,PMNRF,104
64,Puri Sadar,Bira P. Pur,Bhargavi Girls’ HS,2000,PMNRF,104
65,Puri Sadar,Chalisbasta,Katyayani HS,2000,PMNRF,104
66,Puri Sadar,K.B.Pur,M.S. HS,2000,PMNRF,104
67,Puri Sadar,Siruli,Mahavir HS,2000,PMNRF,104
