year,calamity
1996,Drought
1997,Drought
1998,Drought
1998,Heat wave
1999,Super Cyclone
2000,Drought
2001,Floods
2002,Drought
2003,Floods
2004,Floods
2005,Floods
2006,Floods
2007,Floods (July)
2007,Floods (Aug & Sept)
2008,Floods (June & September)
2009,Flood & Heavy rain
2009,Drought / Pest Attack
2010,Flood & Heavy rain
2010,Drought
2010,Unseasonal Cyclonic Rain
2011,Drought
2011,Flood
2012,Drought
2012,Flood
2013,Very severe cyclonic storm Phailin
2013,Flood
2014,Flood
2014,Very severe cyclonic storm Hudhud
2015,Drought
2015,Flood & Heavy Rain
