disaster,year,districts_affected,villages_affected,deaths,affected_population,livestock_loss,houses_damaged,crop_damage_hectares
Flood,2006-07,27,18912,105,6739168,1656,130460,249488
Flood,2007-08,15,5677,91,4235627,19495,76902,197000
Flood,2008-09,20,9794,110,4523590,1677,258155,382080
Flood,2009-10,17,2711,59,661000,,13547,2399
Flood,2010-11,6,889,14,89700,1454,5402,30212
Flood,2011-12,21,6473,82,6000000,1493,176980,260256
Flood,2012-13,5,1059,3,61000,23,14655,1061
Flood,2013-14,18,18374,23,,,,651590
Flood,2014-15,27,5573,61,4000000,187,49061,397538
Flood,2015-16,14,953,9,494088,,1739,46135
Flood,2016-17,6,,3,15100,,,
Flood,2017-18,8,606,9,514669,,5136,51531
Drought,2008-09,5,463,,,,,
Drought,2009-10,18,5294,,,,,
Drought,2010-11,17,10674,,,,,
Drought,2011-12,21,14119,,,,,
Drought,2012-13,4,314,,,,,
Drought,2015-16,27,29175,,,,,1492565
Drought,2016-17,4,508,,,,,22658
Drought,2017-18,15,6021,,,,,335548
Fire,2006-07,30,3941,27,,79,,
Fire,2007-08,30,4341,12,,54,,
Fire,2008-09,30,4563,21,,17,,
Fire,2009-10,27,5346,26,,187,,
Fire,2010-11,29,4721,9,,16,,
Fire,2011-12,30,,21,,104,,
Fire,2012-13,30,6939,36,,173,,
Fire,2014-15,30,4368,25,,153,,
Fire,2015-16,29,3852,26,,63,,
Fire,2016-17,30,3935,92,,195,,
Fire,2017-18,30,3355,107,,140,,
Hail Storm,2006-07,6,125,2,2216,,981,
Hail Storm,2007-08,13,149,6,130,2,2406,4372
Hail Storm,2008-09,3,18,20,10000,512,2258,3694
Hail Storm,2009-10,4,4,5,,,100,
Hail Storm,2010-11,9,252,14,,,2308,194
Hail Storm,2011-12,12,120,5,,,1750,
Hail Storm,2012-13,8,,,,,2957,
Hail Storm,2014-15,1,,1,,,,
Hail Storm,2015-16,4,,5,,,,
Hail Storm,2016-17,6,,7,,,,
Hail Storm,2017-18,11,,9,,,,
Cyclone,2013-14,18,18374,21,13235000,4502,541200,651590
Cyclone,2014-15,15,9657,3,3343966,670,44236,247557
Pest Attack,2006-07,3,,,,,,4571
Pest Attack,2017-18,24,8394,,,,,142723
Lightning,2006-07,30,,204,,,,
Lightning,2007-08,30,,351,,,,
Lightning,2008-09,30,,362,,,,
Lightning,2009-10,28,,214,,,,
Lightning,2010-11,30,,227,,,,
Lightning,2011-12,28,,353,,,,
Lightning,2012-13,30,,265,,,,
Lightning,2014-15,30,,309,,,,
Lightning,2015-16,30,,400,,,,
Lightning,2016-17,29,,398,,,,
Lightning,2017-18,29,,465,,,,
Heat Wave,2006-07,12,,21,,,,
Heat Wave,2007-08,18,,47,,,,
Heat Wave,2008-09,16,,68,,,,
Heat Wave,2009-10,19,,87,,,,
Heat Wave,2010-11,19,,100,,,,
Heat Wave,2011-12,8,,22,,,,
Heat Wave,2012-13,20,,84,,,,
Heat Wave,2013-14,7,,16,,,,
Heat Wave,2014-15,15,,40,,,,
Heat Wave,2015-16,6,,18,,,,
Heat Wave,2016-17,17,,52,,,,
Heat Wave,2017-18,17,,43,,,,
Tornado,2008-09,1,12,16,10000,,1425,134
Heavy Rain,2015-16,5,,5,,,,
Heavy Rain,2016-17,1,,1,,,,
Boat Accidents (non-flood),2015-16,5,,17,,,,
Boat Accidents (non-flood),2016-17,2,,7,,,,
Boat Accidents (non-flood),2017-18,4,,4,,,,
Drowning (non-flood),2015-16,26,,191,,,,
Drowning (non-flood),2016-17,26,,418,,,,
Drowning (non-flood),2017-18,29,,820,,,,
Snake Bite (non-flood),2015-16,23,,305,,,,
Snake Bite (non-flood),2016-17,28,,542,,,,
Snake Bite (non-flood),2017-18,30,,824,,,,
