district,seismic_zone
Sundargarh,Zone-III (Moderate damage risk)
Jharsuguda,Zone-III (Moderate damage risk)
Bargarh,Zone-III (Moderate damage risk)
Sambalpur,Zone-III (Moderate damage risk)
Deogarh,Zone-III (Moderate damage risk)
Anugul,Zone-III (Moderate damage risk)
Dhenkanal,Zone-III (Moderate damage risk)
Jajpur,Zone-III (Moderate damage risk)
Cuttack,Zone-III (Moderate damage risk)
Khurda,Zone-III (Moderate damage risk)
Puri,Zone-III (Moderate damage risk)
Jagatsinghpur,Zone-III (Moderate damage risk)
Kendrapada,Zone-III (Moderate damage risk)
Bhadrak,Zone-III (Moderate damage risk)
Mayurbhanj,Zone-III (Moderate damage risk)
Balasore,Zone-III (Moderate damage risk)
Malkangiri,Zone-II (Low damage risk)
Koraput,Zone-II (Low damage risk)
Rayagada,Zone-II (Low damage risk)
Gajapati,Zone-II (Low damage risk)
Ganjam,Zone-II (Low damage risk)
Kandhamal,Zone-II (Low damage risk)
Nawrangpur,Zone-II (Low damage risk)
Kalahandi,Zone-II (Low damage risk)
Nuapada,Zone-II (Low damage risk)
Bolangir,Zone-II (Low damage risk)
Sonepur,Zone-II (Low damage risk)
Boudh,Zone-II (Low damage risk)
Nayagarh,Zone-II (Low damage risk)
Keonjhar,Zone-II (Low damage risk)
