sl_no,target_group,trainings_conducted,volunteers_covered
1,"Students of Schools & Colleges, YRC, NSS volunteers & NCC on Disaster Preparedness & Survival",13,2700
2,Members CSMMC/FSMMC on Shelter Management,324,16200
3,CSMMC/FSMMC Task Force Volunteers on Search & Rescue & First Aid,5,250
4,Orientation of District level Officers on Preparation of District D.M. Plan,3,81
5,Mason Training on Construction of Disaster Resilient Houses,61,2642
6,"Govt. Officials, Response Forces, NGOs and other stakeholders on different aspects of DM",28,714
7,Civil Defence Volunteers on Relief Line Clearance & Tsunami,2,66
8,Aapda Mitra volunteers in Jagatsinghpur & Puri Districts,16,400
9,Training of community Volunteers of Gajapati on disasters response,3,92
10,Training to YRC & JRC counsellors on DM & Disaster Survival skills,4,115
TOTAL,,459,23260
