holder,satellite_phone_number
Collector Angul,8991118454
Collector Balasore,8991118455
Collector Bargarh,8991118456
Collector Bhadrak,8991118457
Collector Bolangir,8991118458
Collector Boudh,8991118459
Collector Cuttack,8991118460
Collector Deogarh,8991118461
Collector Dhenkanal,8991118462
Collector Gajapati,8991118463
Collector Ganjam,8991118464
Collector Jagatsinghpur,8991118465
Collector Jajpur,8991118466
Collector Jharsuguda,8991118467
Collector Kalahandi,8991118468
Collector Kandhamal,8991118469
Collector Kendrapada,8991118470
Collector Keonjhar,8991118471
Collector Khorda,8991118472
Collector Koraput,8991118473
Collector Malkangiri,8991118474
Collector Mayurbhanj,8991118475
Collector Nabarangpur,8991118476
Collector Nayagarh,8991118477
Collector Nuapada,8991118478
Collector Puri,8991118479
Collector Rayagada,8991118480
Collector Sambalpur,8991118481
Collector Subarnapur,8991118482
Collector Sundargarh,8991118483
"ODRAF Cuttack, OASP 6th Battalion",8991118485
"ODRAF Cuttack, OASP 6th Battalion (alt)",8991118484
"ODRAF Bhubaneswar, OSAP 7th Battalion",8991118487
"ODRAF Bhubaneswar, OSAP 7th Battalion (alt)",8991118486
"ODRAF Baripada, OSAP 5th Battalion",8991118488
"ODRAF Baripada, OSAP 5th Battalion (alt)",8991118489
"ODRAF Rourkela, OSAP 4th Battalion",8991118490
"ODRAF Rourkela, OSAP 4th Battalion (alt)",8991118491
"ODRAF Koraput, OSAP 3rd Battalion",8991118492
"ODRAF Koraput, OSAP 3rd Battalion (alt)",8991118493
"ODRAF Jharsuguda, OSAP 2nd Battalion",8991118495
"ODRAF Jharsuguda, OSAP 2nd Battalion (alt)",8991118494
"ODRAF Chattrapur, OSAP 8th Battalion",8991118496
"ODRAF Chattrapur, OSAP 8th Battalion (alt)",8991118497
ODRAF Balasore,8991118499
ODRAF Balasore (alt),8991118498
ODRAF Bolangir,8991118500
ODRAF Bolangir (alt),8991118501
ODRAF Jagatsinghpur,8991118502
ODRAF Jagatsinghpur (alt),8991118503
State Fire Office,8991118504
Commissioner of Police,8991118505
Revenue & DM Department,8991118506
"Managing Director, OSDMA",8991118507
Office of Chief Secretary,8991118508
Office of Chief Minister,8991118509
Special Relief Commissioner (SEOC),8991118510
"Managing Director, OSDMA (alt)",8991118511
