block,health_sub_centers,phcs,chcs,homeopathic_ayurvedic_hospitals,subdivisional_hospitals,district_private_hospitals,mhus,ambulances_108,blood_banks,source_section
Astaranga,14,2,1,0,0,0,0,1,0,Section 2.2
Brahmagiri,20,3,1,0,0,0,0,1,0,Section 2.2
Delanga,22,5,1,0,0,0,0,1,0,Section 2.2
Gop,29,8,1,0,0,0,0,2,0,Section 2.2
Kakatpur,18,4,1,0,0,0,0,1,0,Section 2.2
Kanas,23,5,1,0,0,0,0,1,0,Section 2.2
Krushnaprasad,13,4,2,0,0,0,0,1,0,Section 2.2
Nimapada,34,4,2,0,0,0,0,3,0,Section 2.2
Pipili,25,3,3,0,0,0,0,2,0,Section 2.2
Puri Sadar,24,4,1,1,0,2,0,1,1,Section 2.2
Satyabadi,19,3,2,0,0,0,0,1,0,Section 2.2
