block,ngo_name,specialisation,source_section
Astaranga,Annachampa Vikash Parishad Sacheana,"Health Care, Drinking Water",Annexure 5
Astaranga,Alock,Rural Sanitation,Annexure 5
Astaranga,Prachi Youth Club,"Womens Development, Child Welfare",Annexure 5
Astaranga,Netaji Youth Club,"Womens Development, Child Welfare",Annexure 5
Astaranga,LWS,"Womens Development, Child Welfare",Annexure 5
Astaranga,Mandakini,"Womens Development, Child Welfare",Annexure 5
Brahmagiri,TYC,"Sanitation, Awareness, Wasteland Development",Annexure 5
Brahmagiri,WELCOMES,"Sanitation, Awareness, Wasteland Development",Annexure 5
Brahmagiri,PLAN,"Sanitation, Awareness, Wasteland Development",Annexure 5
Brahmagiri,Club National,"Sanitation, Awareness, Wasteland Development",Annexure 5
Delanga,Palli Pratisthan,"Awareness, Training and Resource Management",Annexure 5
Delanga,WAAR Rubenti,"Awareness, Training and Resource Management",Annexure 5
Delanga,ISERD,"Awareness, Training and Resource Management",Annexure 5
Delanga,GUS,"Health, Environment Protection, Socioeconomic Development",Annexure 5
Delanga,LSS,"Health, Environment Protection, Socioeconomic Development",Annexure 5
Gop,Association for Voluntary Action,"Disaster Preparedness, Integrated Coastal Development",Annexure 5
Gop,Club Bright Star,"Disaster Preparedness, Integrated Coastal Development",Annexure 5
Gop,Gopinath Yuvak Sangha,"Disaster Preparedness, Integrated Coastal Development",Annexure 5
Gop/Kakatpur,GSSDО,"Socio-economic Development, Rural Upliftment",Annexure 5
Gop/Kakatpur,Jageswari Proudha Sikshya Samiti,"Socio-economic Development, Rural Upliftment",Annexure 5
Kakatpur,AKSS,"Awareness, Rural Womens Programme",Annexure 5
Kakatpur,Anchalika Gramya Vikas Parishad,"Awareness, Rural Womens Programme",Annexure 5
Kakatpur,Anchalik Rajak Gram Unnayan,"Awareness, Rural Womens Programme",Annexure 5
Kakatpur,Anupama,"Awareness, Rural Womens Programme",Annexure 5
Kakatpur,BHARASA,"Awareness, Rural Womens Programme",Annexure 5
Kakatpur,Bindhyagiri Yubak Sangha,"Awareness, Rural Womens Programme",Annexure 5
Kanas,Ramachandi Yubak Sangha,"Drinking Water, Sanitation, Women and Child Development",Annexure 5
Kanas,Maa Patarani Yubak Parisada,"Drinking Water, Sanitation, Women and Child Development",Annexure 5
Kanas,JSS,"Drinking Water, Sanitation, Women and Child Development",Annexure 5
Kanas,OVARR,"Drinking Water, Sanitation, Women and Child Development",Annexure 5
Krushnaprasad,Friends Club,"Sanitation, Environment, Health Care",Annexure 5
Krushnaprasad,Maitribana Sebasangha,"Sanitation, Environment, Health Care",Annexure 5
Krushnaprasad,RAJA,"Sanitation, Environment, Health Care",Annexure 5
Krushnaprasad,SOLAR,"Sanitation, Environment, Health Care",Annexure 5
Nimapara,ARKASHREE,"Planning, Relief, Health Care, Awareness",Annexure 5
Nimapara,G.S.S.R.A,"Planning, Relief, Health Care, Awareness",Annexure 5
Nimapara,OVARR,"Planning, Relief, Health Care, Awareness",Annexure 5
Nimapara,J.M.C.,"Planning, Relief, Health Care, Awareness",Annexure 5
Nimapara,C.T.R.W.,"Planning, Relief, Health Care, Awareness",Annexure 5
Pipili,SJS,"Sanitation, Environment, Health Care",Annexure 5
Pipili,Mother Teresa Welfare Organisation,"Sanitation, Environment, Health Care",Annexure 5
Pipili,Gramya Prava,"Sanitation, Environment, Health Care",Annexure 5
Pipili,AVISKAR,"Sanitation, Environment, Health Care",Annexure 5
Pipili,AASHA,"Sanitation, Environment, Health Care",Annexure 5
Pipili,PROMIS,"Sanitation, Environment, Health Care",Annexure 5
Puri Sadar,WAVE,"Women Development",Annexure 5
Puri Sadar,JHALAK,"Women Development",Annexure 5
Puri Sadar,SAMPARK,"Women Development",Annexure 5
Puri Sadar,UYP,"Women Development",Annexure 5
Puri Sadar,NISWARTH,"Women Development",Annexure 5
Puri Sadar,JANANI,"Women Development",Annexure 5
Satyabadi,G.V.S.S. Nagapur,"Health, Awareness, Women and Child Development",Annexure 5
Satyabadi,SAMPARK,"Health, Awareness, Women and Child Development",Annexure 5
Satyabadi,AASHA,"Health, Awareness, Women and Child Development",Annexure 5
Satyabadi,Alok Mahila Sangathan,"Health, Awareness, Women and Child Development",Annexure 5
Satyabadi,Barunei Club,"Health, Awareness, Women and Child Development",Annexure 5
Satyabadi,PRAYAS,"Health, Awareness, Women and Child Development",Annexure 5
