block,quantity,boat_ids,source_section
PURI SADAR,4,"FRPcc-24, FRP-94, FRP-152, FRP-153",Annexure 12
GOP,3,"SB-9, FRP-29, FRP-155",Annexure 12
KAKATPUR,2,"SB-14, SOB-15",Annexure 12
KANAS,4,"SB-17, SB-19, FRP-3, FRPcc-21",Annexure 12
ASTARANGA,2,"FRP-50, FRP-54",Annexure 12
PIPILI,3,"FRP-53, FRP-150, FRP-151",Annexure 12
NIMAPARA,2,"FRP-25, FRP-154",Annexure 12
BRAHMAGIRI,1,FRP-37,Annexure 12
DELANG,3,"FRP-64, FRP-148, FRP-149",Annexure 12
KRUSHNAPRASAD,3,"ML-Prachi, FRP-146, FRP-147",Annexure 12
