block,vhf_station_location,imd_cwd_location,osdma_vhf_installed_at,additional_vhf_required,source_section
Astaranga,Astaranga Outpost,Block Office Astaranga,"Block Office Astaranga, GP Office Talada","Nagar, Badasirei",Annexure 10
Brahmagiri,Brahmagiri PS,Block Office Brahmagiri,"Block Office Brahmagiri, GP Office Kandagad",,Annexure 10
Delang,"Delang PS, Delang Hat Bazar",Block Office Delang,Block Office Delang,Ghorodia,Annexure 10
Gop,"Gop PS, Konark PS, Balighai OP",Addl. Tahsil Office Konark,Block Office Gop,Olandi,Annexure 10
Kakatpur,Kakatpur Police Station,,Block Office Kakatpur,,Annexure 10
Kanas,"Kanas Police Station, Gadisagoda, Chupuringi OP","Addi. Tahasil Office Kanas",Block Office Kanas,"Kanti, Baliput, Sundar",Annexure 10
Krushnaprasad,Krushnaprasad Police Station (to be installed),,"Block Office Krushnaprasad, GP Office Malud",,Annexure 10
Nimapara (Chilika),"Nuapada, Satapada OP",,,,Annexure 10
Nimapara,"Nimapara PS, Balanga PS",,"Tahsil Office Pipili (Block Office)",,Annexure 10
Pipili,Pipili PS,,Block Office Tahsil Office Pipili,,Annexure 10
Puri Sadar,"Town Police Station, Sadar PS",District Emergency Section Collectorate,,,Annexure 10
Satyabadi,Satyabadi PS,,,Ketakipatana,Annexure 10
